user_id,playlist,track,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
12158075911,Reggae Classics,1,The Sun Stop Shining,Very Best,29/08/2007,DAY,0.637,0.612,0.0661,0.0314,0.0003,0.155,0.711
12158075911,Reggae Classics,2,Love And Affection,Reggae Gold 2007,12/06/2007,DAY,0.664,0.686,0.174,0.0068,0.0000,0.135,0.529
12158075911,Reggae Classics,3,Here Comes Trouble,Dread & Terrible,01/04/2014,DAY,0.758,0.786,0.108,0.1560,0.0000,0.0658,0.786
12158075911,Reggae Classics,4,Who Knows,Ancient Future,2014,YEAR,0.683,0.724,0.0988,0.0909,0.0000,0.339,0.742
12158075911,Reggae Classics,5,Jamming,Exodus (Deluxe Edition),03/01/1977,DAY,0.934,0.467,0.307,0.1020,0.0000,0.109,0.73
12158075911,Reggae Classics,6,Pressure Drop,Monkey Man,01/01/1969,DAY,0.605,0.641,0.0446,0.0503,0.0000,0.121,0.972
12158075911,Reggae Classics,7,Hail H.I.M - 2002 Remastered Version,Hail H.I.M,08/07/2002,DAY,0.775,0.652,0.0583,0.1490,0.1800,0.0458,0.671
12158075911,Reggae Classics,8,The International Herb,Too Long In Slavery,01/01/1990,DAY,0.825,0.433,0.337,0.0585,0.0000,0.0618,0.687
12158075911,Reggae Classics,9,Double Barrel,Ska & Reggae Classics,25/05/2018,DAY,0.846,0.543,0.188,0.1130,0.0000,0.0849,0.772
12158075911,Reggae Classics,10,Wonderful World- Beautiful People - Single Version,The Universal Masters Collection,01/01/2001,DAY,0.767,0.568,0.0261,0.0038,0.0000,0.0448,0.901
12158075911,Reggae Classics,11,54-46 Was My Number,Ska & Reggae Classics,25/05/2018,DAY,0.703,0.355,0.16,0.2040,0.0000,0.0642,0.638
12158075911,Reggae Classics,12,Boom Shacka Lacka,The Treasure Isle Story,28/07/2017,DAY,0.738,0.787,0.0494,0.5400,0.0305,0.114,0.934
12158075911,Reggae Classics,13,Let Me Down Easy,Super Reggae & Soul Hits,2006,YEAR,0.743,0.443,0.0878,0.0490,0.0000,0.131,0.467
12158075911,Reggae Classics,14,Three Little Birds,Exodus (Deluxe Edition),03/01/1977,DAY,0.814,0.482,0.0588,0.0111,0.0000,0.0476,0.615
